County,State,Population,Valid_ballots,Voter_turnout,Vote,Vote_share
Autauga County,Alabama,55243,24973,45.20572742,5936,23.76967124
Baldwin County,Alabama,207601,95215,45.86442262,18458,19.38560101
Barbour County,Alabama,25806,10469,40.56808494,4871,46.52784411
Bibb County,Alabama,22586,8819,39.04631187,1874,21.24957478
Blount County,Alabama,57494,25588,44.50551362,2156,8.425824605
Bullock County,Alabama,10389,4710,45.33641351,3530,74.94692144
Butler County,Alabama,20012,8732,43.63381971,3726,42.67063674
Calhoun County,Alabama,114973,47864,41.63064372,13242,27.66588668
Chambers County,Alabama,33745,13900,41.1912876,5784,41.61151079
Cherokee County,Alabama,25768,10733,41.65243713,1547,14.4134911
Chilton County,Alabama,43866,18369,41.87525646,2911,15.84735152
Choctaw County,Alabama,13045,7292,55.89881181,3109,42.63576522
Clarke County,Alabama,24340,13031,53.53738702,5749,44.11787276
Clay County,Alabama,13393,6624,49.45867244,1237,18.67451691
Cleburne County,Alabama,14848,6593,44.40328664,684,10.37463977
Coffee County,Alabama,51202,20767,40.55896254,4221,20.32551644
Colbert County,Alabama,54497,24915,45.71811292,7312,29.34778246
Conecuh County,Alabama,12500,6585,52.68,3080,46.77296887
Coosa County,Alabama,10819,5252,48.54422775,1782,33.92993145
Covington County,Alabama,37382,15940,42.64084319,2387,14.9749059
Crenshaw County,Alabama,13916,6267,45.03449267,1664,26.55177916
Cullman County,Alabama,82450,37873,45.93450576,3798,10.02825232
Dale County,Alabama,49362,18749,37.98265873,4413,23.53725532
Dallas County,Alabama,40080,18792,46.88622754,12836,68.30566198
DeKalb County,Alabama,71104,25826,36.32144464,3622,14.02462635
Elmore County,Alabama,81204,37260,45.88443919,8443,22.65968867
Escambia County,Alabama,37475,14845,39.61307538,4605,31.02054564
Etowah County,Alabama,102855,44164,42.93811677,10442,23.64369169
Fayette County,Alabama,16563,8249,49.80377951,1362,16.51109225
Franklin County,Alabama,31611,12040,38.08800734,2197,18.24750831
Geneva County,Alabama,26494,11758,44.37985959,1525,12.96989284
Greene County,Alabama,8482,4880,57.53360057,4013,82.23360656
Hale County,Alabama,14828,8040,54.22174265,4775,59.39054726
Henry County,Alabama,17072,8072,47.28209934,2292,28.39444995
Houston County,Alabama,104218,42639,40.91327794,10664,25.0099674
Jackson County,Alabama,51988,20984,40.36316073,3673,17.50381243
Jefferson County,Alabama,660343,304191,46.0656053,156873,51.57055929
Lamar County,Alabama,13928,6966,50.01435956,1036,14.87223658
Lauderdale County,Alabama,92425,39525,42.76440357,9952,25.17900063
Lawrence County,Alabama,33227,14829,44.62936768,3627,24.45883067
Lee County,Alabama,159168,59191,37.18775131,21230,35.86693923
Limestone County,Alabama,92847,40294,43.39827889,9468,23.49729488
Lowndes County,Alabama,10248,6684,65.22248244,4883,73.05505685
Macon County,Alabama,19060,9140,47.95383001,7566,82.77899344
Madison County,Alabama,356729,163389,45.80199535,62822,38.44934482
Marengo County,Alabama,19525,10994,56.30729834,5615,51.07331272
Marion County,Alabama,29960,12984,43.33778371,1432,11.02895872
Marshall County,Alabama,95113,35316,37.13057101,4917,13.92286782
Mobile County,Alabama,414945,172737,41.62889058,72186,41.78954133
Monroe County,Alabama,21548,10271,47.66567663,4332,42.17700321
Montgomery County,Alabama,227170,95878,42.20539684,58916,61.44892468
Morgan County,Alabama,119006,50644,42.55583752,11254,22.22178343
Perry County,Alabama,9532,5278,55.37138061,3824,72.45168624
Pickens County,Alabama,20325,9542,46.94710947,3972,41.6264934
Pike County,Alabama,33464,13168,39.34974898,5056,38.39611179
Randolph County,Alabama,22504,10187,45.267508,2291,22.48944733
Russell County,Alabama,58185,19256,33.09444015,9579,49.74553386
St. Clair County,Alabama,87306,38400,43.98323139,5589,14.5546875
Shelby County,Alabama,211282,101254,47.92362814,22977,22.69243684
Sumter County,Alabama,12967,6411,49.44088841,4746,74.02901263
Talladega County,Alabama,80552,33407,41.47258913,12121,36.28281498
Tallapoosa County,Alabama,40586,19486,48.01162963,5519,28.32289849
Tuscaloosa County,Alabama,206464,82700,40.05540918,31762,38.40628779
Walker County,Alabama,64533,29472,45.66965738,4497,15.25855049
Washington County,Alabama,16621,8533,51.33866795,2374,27.82139927
Wilcox County,Alabama,10844,6118,56.41829583,4339,70.92186989
Winston County,Alabama,23907,10313,43.13799306,872,8.45534762
Apache County,Arizona,71381,27661,38.7512083,17083,61.75843245
Cochise County,Arizona,125686,50015,39.79361265,17450,34.88953314
Coconino County,Arizona,140407,59784,42.57907369,32404,54.20179312
Gila County,Arizona,53356,36697,68.7776445,7003,19.08330381
Graham County,Arizona,37807,20306,53.70963049,3301,16.25627893
Greenlee County,Arizona,9643,5192,53.8421653,1092,21.03235747
La Paz County,Arizona,20648,5951,28.82119334,1575,26.46614014
Maricopa County,Arizona,4256143,1567834,36.83696718,702907,44.8329989
Mohave County,Arizona,205412,79943,38.91836894,17455,21.83430694
Navajo County,Arizona,108467,40294,37.14862585,16459,40.84727255
Pima County,Arizona,1016707,421640,41.47114164,224661,53.28265819
Pinal County,Arizona,417193,129546,31.05181535,47892,36.9691075
Santa Cruz County,Arizona,46400,16433,35.41594828,11690,71.13734559
Yavapai County,Arizona,224575,114450,50.96292998,35590,31.09654871
Yuma County,Arizona,207247,53010,25.57817483,24605,46.41577061
Arkansas County,Arkansas,18154,6212,34.21835408,1939,31.21377978
Ashley County,Arkansas,20530,8083,39.37165124,2408,29.79091921
Baxter County,Arkansas,41131,19766,48.05621064,4169,21.09177375
Benton County,Arkansas,259212,96824,37.35320896,28005,28.92361398
Boone County,Arkansas,37259,16111,43.24055933,2926,18.16150456
Bradley County,Arkansas,10959,3653,33.33333333,1317,36.05255954
Calhoun County,Arkansas,5143,2269,44.11821894,639,28.16218599
Carroll County,Arkansas,27728,10758,38.7983266,3342,31.06525376
Chicot County,Arkansas,10899,4176,38.31544178,2350,56.27394636
Clark County,Arkansas,22602,8526,37.72232546,3620,42.45836266
Clay County,Arkansas,15060,5200,34.52855246,1199,23.05769231
Cleburne County,Arkansas,25173,12085,48.00778612,2101,17.38518825
Cleveland County,Arkansas,8245,3354,40.67919951,723,21.55635063
Columbia County,Arkansas,24026,8887,36.98909515,3140,35.33250816
Conway County,Arkansas,20874,7927,37.97547188,2656,33.50573988
Craighead County,Arkansas,105932,35573,33.58097648,10538,29.62359093
Crawford County,Arkansas,62263,22450,36.05672711,4488,19.99109131
Crittenden County,Arkansas,49306,15952,32.35306048,8410,52.72066199
Cross County,Arkansas,17025,6874,40.37591777,1999,29.08059354
Dallas County,Arkansas,7399,2771,37.45100689,1165,42.0425839
Desha County,Arkansas,11905,4257,35.75808484,2228,52.33732676
Drew County,Arkansas,18553,6595,35.54681184,2365,35.86050038
Faulkner County,Arkansas,122206,47527,38.89088915,14629,30.78039851
Franklin County,Arkansas,17655,6770,38.3460776,1376,20.32496307
Fulton County,Arkansas,12099,4772,39.44127614,1067,22.35959765
Garland County,Arkansas,98282,40805,41.51828412,12311,30.17032226
Grant County,Arkansas,18064,7445,41.21457042,1373,18.44190732
Greene County,Arkansas,44730,14600,32.64028616,3071,21.03424658
Hempstead County,Arkansas,22032,7049,31.99437182,2377,33.72109519
Hot Spring County,Arkansas,33438,11944,35.7198397,3149,26.36470194
Howard County,Arkansas,13350,4674,35.01123596,1351,28.90457852
Independence County,Arkansas,37117,13614,36.67861088,2881,21.16203908
Izard County,Arkansas,13488,5448,40.39145907,1113,20.42951542
Jackson County,Arkansas,17282,5156,29.83450989,1583,30.70209465
Jefferson County,Arkansas,70407,25894,36.77759314,15772,60.90986329
Johnson County,Arkansas,26127,9112,34.87579898,2427,26.63520632
Lafayette County,Arkansas,6888,2860,41.52148664,1032,36.08391608
Lawrence County,Arkansas,16639,5685,34.16671675,1263,22.21635884
Lee County,Arkansas,9337,3026,32.40869658,1735,57.33641771
Lincoln County,Arkansas,13728,3826,27.87004662,1252,32.72347099
Little River County,Arkansas,12406,5227,42.13283895,1397,26.72661182
Logan County,Arkansas,21732,7921,36.44855513,1715,21.65130665
Lonoke County,Arkansas,71803,27100,37.74215562,5664,20.900369
Madison County,Arkansas,16112,6841,42.45903674,1588,23.21298056
Marion County,Arkansas,16376,7107,43.3988764,1434,20.17729
Miller County,Arkansas,43713,16091,36.81055979,4273,26.5552172
Mississippi County,Arkansas,42900,13204,30.77855478,5670,42.94153287
Monroe County,Arkansas,7205,2884,40.0277585,1312,45.49237171
Montgomery County,Arkansas,8936,3559,39.82766338,748,21.01713965
Nevada County,Arkansas,8378,3246,38.74433039,1157,35.64386938
Newton County,Arkansas,7848,3753,47.82110092,699,18.62509992
Ouachita County,Arkansas,24013,9935,41.37342273,4321,43.49270257
Perry County,Arkansas,10286,4306,41.86272604,1049,24.36135625
Phillips County,Arkansas,19050,6953,36.49868766,4310,61.98763124
Pike County,Arkansas,10826,3981,36.77258452,685,17.20673198
Poinsett County,Arkansas,23974,7722,32.20989405,1880,24.34602435
Polk County,Arkansas,20145,8231,40.85877389,1212,14.7248208
Pope County,Arkansas,63897,22569,35.32090708,5000,22.15428242
Prairie County,Arkansas,8252,3444,41.73533689,814,23.63530778
Pulaski County,Arkansas,394151,159776,40.53674861,89574,56.06223713
Randolph County,Arkansas,17444,6379,36.5684476,1425,22.3389246
St. Francis County,Arkansas,26347,7430,28.20055414,4031,54.25302826
Saline County,Arkansas,117656,52100,44.2816346,13256,25.44337812
Scott County,Arkansas,10332,3510,33.97212544,602,17.15099715
Searcy County,Arkansas,7968,3728,46.78714859,601,16.12124464
Sebastian County,Arkansas,127385,44637,35.04101739,12300,27.5556153
Sevier County,Arkansas,16971,4562,26.8811502,1075,23.56422622
Sharp County,Arkansas,17007,7249,42.62362557,1472,20.30624914
Stone County,Arkansas,12509,5618,44.9116636,1203,21.41331435
Union County,Arkansas,39879,16894,42.36314852,5855,34.65727477
Van Buren County,Arkansas,16669,7339,44.0278361,1549,21.10641777
Washington County,Arkansas,228482,81861,35.82820529,33366,40.75933595
White County,Arkansas,78917,27219,34.49066741,5170,18.99408501
Woodruff County,Arkansas,6600,2571,38.95454545,1118,43.48502528
Yell County,Arkansas,21502,6439,29.94605153,1480,22.98493555
Alameda County,California,1650950,654266,39.62966777,514842,78.69001293
Alpine County,California,1047,602,57.49761223,334,55.48172757
Amador County,California,37429,17734,47.38037351,6004,33.85587008
Butte County,California,226231,95564,42.24177942,41567,43.49650496
Calaveras County,California,45322,23136,51.04805613,7944,34.33609959
Colusa County,California,21496,6632,30.85225158,2661,40.12364294
Contra Costa County,California,1137268,466175,40.9907779,319287,68.49080281
Del Norte County,California,27382,9558,34.90614272,3485,36.46160285
El Dorado County,California,185976,93591,50.32423539,36404,38.89690248
Fresno County,California,976830,282319,28.90154889,141341,50.06428898
Glenn County,California,27840,9470,34.0158046,3065,32.36536431
Humboldt County,California,136290,59246,43.47054076,33200,56.0375384
Imperial County,California,180179,48091,26.69067982,32667,67.92747084
Inyo County,California,17922,8086,45.1177324,3155,39.0180559
Kern County,California,880856,244163,27.71883259,98689,40.41931005
Kings County,California,149382,33915,22.70353858,13617,40.15037594
Lake County,California,63903,24496,38.3330986,11496,46.93011104
Lassen County,California,30721,10524,34.25669737,2224,21.13264918
Los Angeles County,California,10105708,3434308,33.98384359,2464364,71.75722154
Madera County,California,153956,43112,28.002806,17029,39.49944331
Marin County,California,260562,139273,53.45100206,108707,78.05317614
Mariposa County,California,17456,8877,50.8535747,3122,35.16953926
Mendocino County,California,87285,37477,42.93635791,22079,58.91346693
Merced County,California,267628,70789,26.45052087,37317,52.71581743
Modoc County,California,8961,3788,42.27206785,877,23.15205913
Mono County,California,14273,5276,36.96489876,2773,52.55875663
Monterey County,California,433953,133408,30.74249976,89088,66.77860398
Napa County,California,140840,61372,43.57568872,39199,63.87114645
Nevada County,California,98913,54935,55.53870573,26053,47.4251388
Orange County,California,3164986,1197521,37.83653387,609961,50.93530719
Placer County,California,378943,182839,48.24973677,73509,40.20422339
Plumas County,California,18665,9676,51.84034289,3459,35.74824308
Riverside County,California,2380081,751391,31.56997598,373695,49.73376045
Sacramento County,California,1510987,559330,37.01752563,326023,58.28813044
San Benito County,California,59225,21924,37.01815112,12521,57.11092866
San Bernardino County,California,2131960,653983,30.67520029,340833,52.11649232
San Diego County,California,3306089,1306400,39.51496769,735476,56.29791794
San Francisco County,California,871512,405792,46.56183736,345084,85.03962621
San Joaquin County,California,732809,224166,30.58996273,121124,54.03317185
San Luis Obispo County,California,281803,135009,47.90900026,67107,49.70557518
San Mateo County,California,767906,314384,40.9404276,237882,75.66606443
Santa Barbara County,California,444340,176786,39.78619976,107142,60.60547781
Santa Clara County,California,1928368,703709,36.49246409,511684,72.71244222
Santa Cruz County,California,274396,128821,46.94711293,95249,73.93903168
Shasta County,California,178571,80053,44.82978759,22301,27.85779421
Sierra County,California,2951,1830,62.01287699,601,32.84153005
Siskiyou County,California,43376,20492,47.24271487,7234,35.3015811
Solano County,California,438858,166113,37.8511956,102360,61.62070398
Sonoma County,California,502547,231253,46.01619351,160435,69.37639728
Stanislaus County,California,539255,172146,31.92293071,81647,47.42892661
Sutter County,California,95742,33523,35.0138915,13076,39.00605554
Tehama County,California,63453,23908,37.67828156,6809,28.48000669
Trinity County,California,12828,5686,44.32491425,2214,38.93774182
Tulare County,California,459235,112334,24.46111468,47585,42.36028273
Tuolumne County,California,53770,25529,47.47814767,9123,35.73582984
Ventura County,California,847323,351726,41.51026232,194402,55.27086425
Yolo County,California,215627,82090,38.07037152,54752,66.6975271
Yuba County,California,74952,22998,30.68363753,7910,34.39429516
Adams County,Colorado,497734,193665,38.90933712,96558,49.8582604
Alamosa County,Colorado,16053,6939,43.22556531,3189,45.95763078
Arapahoe County,Colorado,638950,303046,47.42875029,159885,52.75931707
Archuleta County,Colorado,12825,7339,57.22417154,2500,34.06458646
Baca County,Colorado,3530,2153,60.99150142,283,13.14444961
Bent County,Colorado,5833,1927,33.0361735,590,30.61754022
Boulder County,Colorado,321250,188142,58.56560311,132334,70.33729842
Broomfield County,Colorado,66513,37689,56.66411078,19731,52.35214519
Chaffee County,Colorado,19110,11250,58.86970173,4888,43.44888889
Cheyenne County,Colorado,1850,1102,59.56756757,132,11.97822142
Clear Creek County,Colorado,9353,5866,62.71784454,2729,46.52233208
Conejos County,Colorado,8050,4022,49.96273292,1771,44.03281949
Costilla County,Colorado,3693,1848,50.04061738,1125,60.87662338
Crowley County,Colorado,5285,1527,28.89309366,339,22.20039293
Custer County,Colorado,4588,3066,66.82650392,797,25.99478147
Delta County,Colorado,30346,16790,55.32854412,4087,24.34187016
Denver County,Colorado,696159,331852,47.66899516,244551,73.69279076
Dolores County,Colorado,2056,1255,61.04085603,242,19.28286853
Douglas County,Colorado,328219,187499,57.12618709,68657,36.61726196
Eagle County,Colorado,54541,25223,46.24594342,14099,55.89739523
Elbert County,Colorado,25157,15978,63.5131375,3134,19.6144699
El Paso County,Colorado,688277,318967,46.34282418,108010,33.86243718
Fremont County,Colorado,46976,21973,46.77494891,5297,24.10685842
Garfield County,Colorado,58785,26470,45.02849366,11271,42.58027956
Gilpin County,Colorado,5914,3576,60.46668921,1634,45.6935123
Grand County,Colorado,15179,8588,56.5781672,3358,39.10107126
Gunnison County,Colorado,16414,9412,57.34129402,5128,54.48363791
